incident_id,timestamp,attack_type,affected_systems,severity_level,response_time_min,country,industry,data_compromised,resolution_status,flow_bytes_per_s,flow_packets_per_s,protocol,source_ip,destination_ip,attack_success
INC-10030,2023-01-08 19:44:00,Ransomware,End-User System,Medium,1429,USA,Retail,377.81,Unresolved,920857.3,6713.65,UDP,192.168.172.154,10.0.252.41,Yes
INC-10031,2023-11-03 08:33:00,SQL Injection,Web Server,High,934,USA,Manufacturing,98.28,Unresolved,643368.35,8731.74,HTTPS,192.168.175.169,10.0.73.4,No
INC-10032,2023-11-12 05:36:00,SQL Injection,Network Router,Low,571,Germany,Finance,431.29,Resolved,248616.49,2926.83,DNS,192.168.153.82,10.0.75.141,Yes
INC-10033,2023-09-13 04:38:00,Ransomware,Web Server,Medium,22,UK,Healthcare,441.83,Unresolved,337570.22,9818.78,HTTP,192.168.62.203,10.0.185.131,Yes
INC-10034,2023-01-07 08:41:00,Malware,IoT Device,Critical,330,Canada,Healthcare,476.06,Unresolved,622960.44,6369.9,HTTP,192.168.247.194,10.0.76.69,Yes
INC-10035,2023-03-17 06:55:00,DDoS,Cloud Infrastructure,High,287,Brazil,Finance,22.52,Unresolved,68177.26,5020.58,DNS,192.168.250.7,10.0.125.223,Yes
INC-10036,2023-09-05 16:57:00,Ransomware,Cloud Infrastructure,Low,1221,Russia,Manufacturing,107.22,Resolved,203796.2,5286.5,DNS,192.168.88.188,10.0.93.29,Yes
INC-10037,2023-11-25 11:06:00,Malware,Web Server,Critical,80,Russia,Tech,437.82,Unresolved,159272.49,1014.38,TCP,192.168.42.234,10.0.121.150,Yes
INC-10038,2023-05-04 23:41:00,SQL Injection,Database,High,1184,Australia,Retail,193.91,Resolved,122042.33,1429.34,DNS,192.168.217.124,10.0.253.30,No
INC-10039,2023-07-04 21:50:00,Malware,Web Server,Critical,181,France,Healthcare,428.79,Resolved,596054.5,4190.61,DNS,192.168.115.182,10.0.119.102,Yes
INC-10040,2023-04-30 15:31:00,Phishing,End-User System,High,271,France,Manufacturing,121.81,Resolved,947113.01,1930.5,DNS,192.168.211.51,10.0.209.242,No
INC-10041,2023-10-18 21:09:00,Malware,Network Router,Critical,924,France,Retail,402.46,Resolved,371193.22,5242.94,UDP,192.168.136.239,10.0.158.127,Yes
INC-10042,2023-10-03 07:30:00,SQL Injection,Database,High,59,Australia,Manufacturing,248.78,Resolved,338171.56,8133.41,UDP,192.168.140.224,10.0.39.128,Yes
INC-10043,2023-11-02 02:57:00,SQL Injection,IoT Device,Critical,1075,USA,Finance,498.03,Unresolved,712068.14,9753.29,HTTPS,192.168.111.61,10.0.109.100,Yes
INC-10044,2023-11-29 04:45:00,DDoS,End-User System,High,616,Brazil,Education,90.84,Resolved,994113.79,9270.42,DNS,192.168.198.112,10.0.254.28,Yes
INC-10045,2023-05-16 00:50:00,DDoS,Network Router,High,940,Russia,Government,42.22,Resolved,506188.68,4280.92,UDP,192.168.35.189,10.0.62.251,No
INC-10046,2023-01-22 07:36:00,Ransomware,End-User System,Low,930,Russia,Retail,56.03,Resolved,758428.14,7293.35,HTTP,192.168.206.19,10.0.37.5,No
INC-10047,2023-11-10 12:28:00,Man-in-the-Middle,Network Router,High,446,India,Tech,154.52,Resolved,802284.77,7879.44,HTTP,192.168.164.190,10.0.77.187,No
INC-10048,2023-11-03 19:05:00,Man-in-the-Middle,Network Router,High,1165,Australia,Manufacturing,6.84,Unresolved,271478.51,1394.08,HTTP,192.168.61.239,10.0.214.216,No
INC-10049,2023-06-17 05:21:00,Phishing,Web Server,Medium,284,UK,Healthcare,181.02,Resolved,11342.22,1720.38,ICMP,192.168.52.242,10.0.192.232,Yes
INC-10050,2023-06-28 12:07:00,DDoS,Web Server,High,768,USA,Retail,200.34,Resolved,222558.96,4254.81,UDP,192.168.20.214,10.0.73.77,Yes
INC-10051,2023-07-18 23:35:00,DDoS,Database,Medium,153,France,Government,471.51,Resolved,338039.85,9771.69,ICMP,192.168.174.161,10.0.201.60,No
INC-10052,2023-07-09 02:51:00,Malware,IoT Device,High,1312,Russia,Government,251.54,Unresolved,907980.65,3265.67,DNS,192.168.178.1,10.0.12.90,No
INC-10053,2023-05-23 11:04:00,SQL Injection,Web Server,Medium,1332,Australia,Education,264.77,Resolved,30613.1,9440.12,ICMP,192.168.49.129,10.0.15.177,No
INC-10054,2023-01-15 17:56:00,Malware,IoT Device,High,1368,India,Government,257.36,Unresolved,589302.89,7163.27,UDP,192.168.142.88,10.0.188.16,No
INC-10055,2023-06-12 18:25:00,Phishing,IoT Device,Low,165,USA,Retail,319.39,Resolved,143690.06,9694.85,HTTP,192.168.149.3,10.0.211.148,Yes
INC-10056,2023-10-07 09:44:00,Malware,IoT Device,High,1103,Russia,Education,199.64,Resolved,946382.85,2804.07,HTTP,192.168.154.212,10.0.225.44,No
INC-10057,2023-12-09 22:36:00,Man-in-the-Middle,IoT Device,Critical,204,India,Healthcare,317.73,Unresolved,379235.03,2771.97,UDP,192.168.29.158,10.0.213.163,Yes
INC-10058,2023-02-07 03:46:00,Ransomware,End-User System,Critical,837,Australia,Retail,372.31,Unresolved,722626.28,9109.3,SMTP,192.168.216.114,10.0.235.161,Yes
INC-10059,2023-06-13 23:40:00,Ransomware,IoT Device,Low,100,India,Tech,280.09,Unresolved,773681.84,688.75,UDP,192.168.193.193,10.0.246.178,No
INC-10060,2023-10-18 17:47:00,Ransomware,End-User System,Critical,314,China,Tech,381.9,Resolved,82677.25,3507.5,HTTP,192.168.52.8,10.0.157.53,No
INC-10061,2023-05-04 18:23:00,Man-in-the-Middle,Network Router,Critical,616,Australia,Tech,298.59,Resolved,602605.63,8232.19,DNS,192.168.161.177,10.0.207.44,Yes
INC-10062,2023-10-28 21:32:00,Brute Force,End-User System,Critical,1153,Canada,Manufacturing,409.31,Unresolved,610723.01,3953.26,DNS,192.168.59.208,10.0.203.130,No
INC-10063,2023-01-15 21:55:00,DDoS,Database,Low,1062,France,Manufacturing,318.71,Unresolved,151063.72,7231.72,DNS,192.168.82.77,10.0.201.63,No
INC-10064,2023-09-23 10:28:00,Brute Force,Cloud Infrastructure,Low,371,India,Finance,252.26,Resolved,344783.02,2280.27,DNS,192.168.232.52,10.0.21.129,No
INC-10065,2023-10-19 05:38:00,DDoS,End-User System,High,490,USA,Healthcare,86.45,Resolved,442483.51,8168.24,UDP,192.168.46.255,10.0.249.65,No
INC-10066,2023-07-12 15:31:00,Malware,Web Server,Critical,849,Canada,Government,464.79,Unresolved,186601.88,7766.07,DNS,192.168.153.93,10.0.106.63,No
INC-10067,2023-06-03 11:35:00,Malware,Network Router,High,1357,Canada,Government,196.24,Unresolved,487711.97,8032.76,HTTPS,192.168.105.230,10.0.162.77,Yes
INC-10068,2023-04-20 08:54:00,Ransomware,IoT Device,High,1154,Germany,Tech,107.55,Unresolved,407918.74,2420.36,ICMP,192.168.75.200,10.0.120.146,Yes
INC-10069,2023-02-23 21:09:00,SQL Injection,Network Router,Critical,1242,UK,Government,362.46,Resolved,534208.43,5562.4,DNS,192.168.72.32,10.0.77.7,Yes
INC-10070,2023-08-20 01:55:00,Ransomware,Database,Critical,932,Germany,Government,5.97,Unresolved,96233.49,2071.33,DNS,192.168.238.86,10.0.253.22,Yes
INC-10071,2023-12-16 03:35:00,Brute Force,IoT Device,Medium,973,Canada,Finance,180.61,Resolved,791495.51,2080.56,SMTP,192.168.121.89,10.0.222.95,No
INC-10072,2023-07-01 01:09:00,Malware,Cloud Infrastructure,Critical,669,France,Education,289.88,Unresolved,934867.24,6922.41,UDP,192.168.74.246,10.0.23.253,No
INC-10073,2023-04-22 07:00:00,Man-in-the-Middle,Network Router,Critical,722,UK,Manufacturing,195.26,Resolved,785292.68,9020.37,TCP,192.168.132.173,10.0.202.228,No
INC-10074,2023-03-22 13:00:00,Man-in-the-Middle,Database,Low,267,Germany,Finance,199.5,Unresolved,369518.14,7445.08,HTTPS,192.168.173.175,10.0.19.78,Yes
INC-10075,2023-11-02 14:27:00,Man-in-the-Middle,Cloud Infrastructure,Critical,216,Russia,Retail,301.14,Resolved,478569.24,3759.32,HTTP,192.168.246.238,10.0.70.34,Yes
INC-10076,2023-05-07 10:12:00,Ransomware,Cloud Infrastructure,Medium,416,China,Retail,8.71,Unresolved,269497.69,646.79,UDP,192.168.114.176,10.0.223.152,Yes
INC-10077,2023-01-05 20:43:00,DDoS,Network Router,Low,1141,UK,Education,327.58,Unresolved,990606.29,1327.86,HTTP,192.168.141.28,10.0.204.20,Yes
INC-10078,2023-04-19 09:32:00,Ransomware,Web Server,Low,463,Canada,Government,359.21,Unresolved,265784.01,1833.27,DNS,192.168.43.140,10.0.200.161,No
INC-10079,2023-03-29 05:28:00,Man-in-the-Middle,IoT Device,Medium,791,Australia,Healthcare,28.31,Unresolved,558370.59,6507.78,HTTPS,192.168.97.250,10.0.220.236,Yes
INC-10080,2023-09-28 06:07:00,Brute Force,Cloud Infrastructure,Critical,138,UK,Manufacturing,328.64,Unresolved,225960.49,7845.45,SMTP,192.168.165.94,10.0.154.93,No
INC-10081,2023-10-12 15:17:00,Phishing,End-User System,High,1422,USA,Healthcare,355.79,Unresolved,605087.56,2905.37,SMTP,192.168.133.101,10.0.214.98,No
INC-10082,2023-07-20 01:26:00,Malware,Network Router,Low,669,USA,Education,403.18,Unresolved,9189.53,4577.78,SMTP,192.168.136.35,10.0.121.194,No
INC-10083,2023-04-27 17:56:00,Phishing,End-User System,High,408,China,Tech,345.82,Unresolved,773865.23,7354.05,TCP,192.168.137.90,10.0.143.215,No
INC-10084,2023-04-05 15:36:00,Man-in-the-Middle,Network Router,Medium,84,Brazil,Tech,61.68,Resolved,639511.9,3682.06,SMTP,192.168.76.167,10.0.203.171,No
INC-10085,2023-08-29 13:00:00,DDoS,End-User System,Critical,648,Canada,Tech,177.73,Resolved,203777.72,7352.36,ICMP,192.168.152.198,10.0.64.189,No
INC-10086,2023-05-01 06:38:00,DDoS,End-User System,Critical,1062,USA,Tech,400.84,Unresolved,111023.39,7546.48,UDP,192.168.84.216,10.0.98.249,Yes
INC-10087,2023-08-22 15:49:00,Man-in-the-Middle,Cloud Infrastructure,Critical,782,France,Manufacturing,480.35,Unresolved,637067.66,3166.65,HTTPS,192.168.225.48,10.0.76.109,No
INC-10088,2023-04-13 21:09:00,Ransomware,End-User System,High,395,China,Healthcare,50.12,Unresolved,252761.72,9749.37,SMTP,192.168.14.14,10.0.245.105,Yes
INC-10089,2023-11-26 04:56:00,Brute Force,IoT Device,Medium,474,India,Finance,435.7,Resolved,242148.17,5031.0,UDP,192.168.213.172,10.0.22.133,No
INC-10090,2023-09-13 01:29:00,Man-in-the-Middle,Database,Medium,458,France,Finance,468.39,Resolved,257600.09,2027.85,TCP,192.168.244.163,10.0.4.208,No
INC-10091,2023-05-30 10:46:00,SQL Injection,Cloud Infrastructure,High,1146,France,Tech,217.89,Resolved,702640.52,6039.34,UDP,192.168.34.234,10.0.84.152,Yes
INC-10092,2023-07-04 07:08:00,Ransomware,Cloud Infrastructure,Critical,697,Australia,Tech,21.21,Resolved,914024.68,8491.3,TCP,192.168.173.244,10.0.238.15,Yes
INC-10093,2023-10-15 07:17:00,Ransomware,Web Server,Medium,271,Brazil,Government,118.36,Unresolved,107809.35,9342.71,HTTPS,192.168.121.29,10.0.197.222,No
INC-10094,2023-03-23 07:28:00,Man-in-the-Middle,Network Router,Critical,1081,Canada,Manufacturing,181.87,Resolved,518957.94,2642.15,HTTPS,192.168.159.70,10.0.76.0,Yes
INC-10095,2023-08-21 03:22:00,SQL Injection,Cloud Infrastructure,Critical,723,France,Finance,422.66,Unresolved,955075.26,4031.58,DNS,192.168.180.77,10.0.64.84,Yes
INC-10096,2023-04-04 04:22:00,Man-in-the-Middle,IoT Device,High,606,China,Healthcare,148.88,Unresolved,935999.52,8080.05,DNS,192.168.69.35,10.0.90.199,No
INC-10097,2023-07-06 04:31:00,Brute Force,End-User System,Medium,366,Germany,Healthcare,42.99,Resolved,85558.74,9256.56,DNS,192.168.235.214,10.0.5.94,Yes
INC-10098,2023-04-16 04:08:00,SQL Injection,Database,High,1234,Germany,Manufacturing,350.55,Resolved,530609.77,8465.14,SMTP,192.168.179.29,10.0.178.83,No
INC-10099,2023-07-06 23:31:00,SQL Injection,Cloud Infrastructure,High,788,UK,Government,258.32,Unresolved,501432.56,601.08,HTTP,192.168.67.98,10.0.144.58,No
INC-10100,2023-03-06 11:32:00,Malware,Database,Critical,996,China,Government,315.15,Unresolved,279718.02,5024.58,TCP,192.168.208.116,10.0.245.136,Yes
INC-10101,2023-04-20 21:42:00,SQL Injection,Cloud Infrastructure,Medium,688,USA,Finance,221.88,Unresolved,864391.49,1356.09,UDP,192.168.91.194,10.0.183.83,No
INC-10102,2023-02-12 19:14:00,Man-in-the-Middle,IoT Device,Medium,777,USA,Manufacturing,4.09,Resolved,387693.43,9097.65,UDP,192.168.162.87,10.0.218.59,No
INC-10103,2023-11-30 21:43:00,Phishing,Network Router,Low,440,India,Retail,242.83,Unresolved,637467.17,1638.19,HTTPS,192.168.76.7,10.0.212.24,No
INC-10104,2023-05-02 06:08:00,DDoS,Web Server,Medium,504,Canada,Education,408.89,Resolved,544373.3,9687.14,DNS,192.168.104.44,10.0.179.44,No
INC-10105,2023-04-28 14:04:00,Malware,Web Server,Low,526,Germany,Government,440.36,Unresolved,52886.59,5795.1,TCP,192.168.191.32,10.0.142.93,Yes
INC-10106,2023-07-14 00:28:00,Brute Force,End-User System,Medium,1087,Canada,Government,417.8,Resolved,822432.56,8517.81,HTTP,192.168.114.124,10.0.90.237,No
INC-10107,2023-03-16 21:01:00,Brute Force,IoT Device,High,137,France,Manufacturing,474.42,Unresolved,183745.55,5745.5,ICMP,192.168.74.48,10.0.211.104,No
INC-10108,2023-03-23 05:57:00,Malware,IoT Device,Medium,86,China,Manufacturing,133.43,Unresolved,189711.88,8027.48,HTTPS,192.168.82.47,10.0.130.162,No
INC-10109,2023-06-11 22:03:00,Ransomware,Network Router,Low,870,Canada,Tech,160.35,Unresolved,838853.18,7642.75,DNS,192.168.237.20,10.0.216.250,No
INC-10110,2023-10-24 10:02:00,SQL Injection,End-User System,Medium,79,Russia,Government,234.66,Resolved,803478.87,355.54,DNS,192.168.60.209,10.0.170.148,No
INC-10111,2023-11-13 20:07:00,Brute Force,Web Server,High,423,Russia,Healthcare,45.35,Resolved,143100.54,3817.05,DNS,192.168.6.151,10.0.194.119,Yes
INC-10112,2023-10-28 16:30:00,Ransomware,Network Router,Critical,1105,India,Manufacturing,400.09,Unresolved,641677.6,1186.0,SMTP,192.168.176.61,10.0.10.134,Yes
INC-10113,2023-03-14 13:21:00,Phishing,Cloud Infrastructure,Low,178,France,Tech,41.15,Resolved,148501.17,7238.83,HTTP,192.168.129.155,10.0.83.161,Yes
INC-10114,2023-09-26 06:42:00,Phishing,End-User System,Low,240,USA,Retail,490.2,Resolved,871222.34,311.97,DNS,192.168.54.216,10.0.225.89,Yes
INC-10115,2023-11-05 02:26:00,Malware,IoT Device,High,412,Australia,Government,145.28,Resolved,934320.15,6415.45,SMTP,192.168.218.220,10.0.134.232,No
INC-10116,2023-06-18 09:06:00,Malware,Web Server,Low,520,Canada,Finance,471.88,Resolved,675981.72,3443.82,SMTP,192.168.35.120,10.0.228.81,No
INC-10117,2023-02-14 20:56:00,Man-in-the-Middle,Web Server,Low,400,Australia,Government,105.01,Unresolved,304075.23,6727.62,DNS,192.168.121.140,10.0.153.108,No
INC-10118,2023-03-05 21:46:00,Malware,End-User System,Critical,1098,Germany,Healthcare,440.93,Unresolved,632737.6,1867.95,HTTP,192.168.244.162,10.0.125.78,Yes
INC-10119,2023-09-02 04:06:00,Brute Force,Web Server,Critical,910,Brazil,Healthcare,261.26,Resolved,780378.03,6784.59,HTTP,192.168.230.63,10.0.31.112,No
INC-10120,2023-12-22 10:50:00,Ransomware,IoT Device,Critical,1198,India,Manufacturing,166.62,Resolved,728948.56,8362.2,HTTPS,192.168.68.106,10.0.17.47,Yes
INC-10121,2023-06-24 10:33:00,Ransomware,Cloud Infrastructure,Low,126,Brazil,Tech,95.93,Unresolved,564241.34,5247.99,SMTP,192.168.180.59,10.0.98.19,Yes
INC-10122,2023-01-31 19:49:00,Ransomware,Web Server,High,630,Brazil,Finance,399.19,Unresolved,999151.79,6226.14,SMTP,192.168.100.70,10.0.5.176,Yes
INC-10123,2023-10-05 14:28:00,Brute Force,Cloud Infrastructure,Low,80,China,Tech,301.25,Resolved,744362.91,2902.96,ICMP,192.168.210.56,10.0.138.14,No
INC-10124,2023-02-11 09:51:00,Phishing,Web Server,High,1158,Brazil,Education,152.55,Unresolved,232055.34,4390.76,HTTP,192.168.26.56,10.0.6.9,No
INC-10125,2023-10-25 16:25:00,Brute Force,Cloud Infrastructure,Medium,1217,Canada,Tech,256.09,Unresolved,720951.48,6884.86,UDP,192.168.19.214,10.0.176.251,Yes
INC-10126,2023-07-08 07:23:00,Ransomware,Web Server,Medium,866,India,Finance,62.82,Resolved,71924.76,3026.09,UDP,192.168.218.71,10.0.221.222,Yes
INC-10127,2023-03-16 15:49:00,Brute Force,Network Router,Critical,479,Russia,Healthcare,11.42,Resolved,323786.0,9385.14,DNS,192.168.191.82,10.0.75.32,Yes
INC-10128,2023-07-22 03:06:00,Man-in-the-Middle,Network Router,Critical,1088,Australia,Tech,464.41,Unresolved,554645.75,9223.27,HTTP,192.168.36.207,10.0.206.243,Yes
INC-10129,2023-04-30 18:00:00,Phishing,IoT Device,Medium,906,Canada,Tech,146.89,Resolved,331598.13,3588.52,ICMP,192.168.133.99,10.0.187.60,Yes
INC-10130,2023-04-26 02:19:00,Malware,Cloud Infrastructure,Medium,824,Australia,Education,286.81,Unresolved,626187.15,9605.33,TCP,192.168.160.37,10.0.57.137,Yes
INC-10131,2023-10-07 20:06:00,Malware,Web Server,High,523,France,Manufacturing,298.52,Resolved,822738.95,2070.06,HTTP,192.168.116.147,10.0.95.25,No
INC-10132,2023-02-19 18:20:00,Malware,Web Server,Medium,1063,UK,Retail,83.56,Unresolved,660595.97,8124.16,HTTPS,192.168.170.204,10.0.59.60,Yes
INC-10133,2023-05-20 02:17:00,SQL Injection,Web Server,Medium,408,Canada,Healthcare,216.36,Resolved,845391.31,641.21,UDP,192.168.29.33,10.0.175.177,Yes
INC-10134,2023-11-05 06:31:00,DDoS,Network Router,Critical,338,China,Education,280.03,Unresolved,891247.3,2424.15,DNS,192.168.55.74,10.0.73.118,No
INC-10135,2023-08-14 13:48:00,Man-in-the-Middle,Web Server,Medium,80,Brazil,Finance,207.29,Unresolved,947050.8,773.81,TCP,192.168.97.164,10.0.206.173,No
INC-10136,2023-12-01 21:27:00,Brute Force,Web Server,Low,452,Russia,Manufacturing,154.26,Unresolved,581635.3,6155.85,HTTPS,192.168.224.62,10.0.15.41,No
INC-10137,2023-11-16 12:31:00,DDoS,End-User System,Low,845,China,Education,344.09,Unresolved,136441.34,360.56,DNS,192.168.252.23,10.0.204.246,Yes
INC-10138,2023-10-12 14:56:00,DDoS,Network Router,Critical,1205,UK,Retail,96.86,Unresolved,756346.24,9443.23,SMTP,192.168.50.5,10.0.136.116,No
INC-10139,2023-08-08 13:21:00,Ransomware,Web Server,Medium,132,Brazil,Healthcare,87.31,Unresolved,782220.14,6420.19,HTTPS,192.168.163.4,10.0.43.1,Yes
INC-10140,2023-09-17 03:37:00,Man-in-the-Middle,IoT Device,High,341,Brazil,Government,59.12,Resolved,557781.21,1748.19,DNS,192.168.49.228,10.0.33.127,No
INC-10141,2023-07-28 12:47:00,Brute Force,Cloud Infrastructure,High,1154,Germany,Healthcare,254.12,Resolved,482735.77,6421.51,UDP,192.168.30.72,10.0.189.128,No
INC-10142,2023-04-16 18:33:00,SQL Injection,Network Router,High,474,France,Healthcare,218.12,Unresolved,377817.94,4587.67,HTTPS,192.168.213.124,10.0.81.67,No
INC-10143,2023-12-20 16:22:00,Malware,Database,Medium,214,Canada,Tech,299.79,Unresolved,152046.03,1350.56,DNS,192.168.210.163,10.0.44.91,Yes
INC-10144,2023-02-02 07:32:00,Ransomware,Network Router,High,856,China,Education,147.52,Unresolved,632069.14,1267.9,TCP,192.168.210.102,10.0.56.38,No
INC-10145,2023-08-18 13:37:00,Ransomware,Web Server,Critical,889,UK,Education,368.25,Resolved,793198.17,4566.99,HTTP,192.168.134.246,10.0.90.225,Yes
INC-10146,2023-03-31 06:49:00,Ransomware,Network Router,Medium,942,Russia,Tech,464.73,Unresolved,710110.72,1634.9,UDP,192.168.240.85,10.0.181.216,No
INC-10147,2023-08-09 14:16:00,Ransomware,Network Router,High,812,Germany,Finance,339.06,Resolved,222871.53,1479.71,HTTPS,192.168.127.116,10.0.187.182,Yes
INC-10148,2023-05-14 17:07:00,Ransomware,End-User System,Medium,386,Russia,Education,311.9,Unresolved,342762.02,9048.78,HTTPS,192.168.1.139,10.0.31.153,No
INC-10149,2023-09-03 20:35:00,SQL Injection,Web Server,Medium,374,India,Government,161.73,Unresolved,687813.23,5601.01,TCP,192.168.131.79,10.0.243.23,No
INC-10150,2023-04-16 20:15:00,DDoS,End-User System,Critical,573,Canada,Finance,31.45,Unresolved,55281.17,4377.61,DNS,192.168.21.55,10.0.188.58,Yes
INC-10151,2023-06-27 20:08:00,DDoS,Web Server,Critical,706,USA,Tech,167.36,Unresolved,820949.48,9116.42,SMTP,192.168.213.216,10.0.135.26,No
INC-10152,2023-10-23 18:19:00,Man-in-the-Middle,Cloud Infrastructure,High,1079,Russia,Education,317.97,Unresolved,715917.26,7578.48,SMTP,192.168.196.20,10.0.2.153,No
INC-10153,2023-11-24 18:43:00,DDoS,IoT Device,Critical,1403,Russia,Education,34.72,Unresolved,637796.14,2179.35,ICMP,192.168.98.245,10.0.127.127,Yes
INC-10154,2023-08-29 20:32:00,DDoS,Network Router,Low,1107,France,Government,243.58,Unresolved,64549.67,3443.77,TCP,192.168.251.152,10.0.106.142,Yes
INC-10155,2023-05-02 11:47:00,Malware,IoT Device,Medium,296,China,Retail,132.52,Resolved,355086.81,3491.35,SMTP,192.168.14.59,10.0.215.0,Yes
INC-10156,2023-08-12 16:03:00,Phishing,Web Server,Medium,1219,USA,Manufacturing,78.79,Unresolved,134494.64,1012.07,DNS,192.168.151.59,10.0.78.7,No
INC-10157,2023-03-30 12:46:00,Ransomware,Cloud Infrastructure,High,1385,France,Government,311.46,Unresolved,281751.25,5793.47,TCP,192.168.133.42,10.0.196.178,Yes
